Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
James Harden,44.4,35.5,86.5,1.0,5.5,7.5,1.8,0.9,4.5,hardeja01,SG,0.5555555555555556
Bradley Beal,45.5,35.3,84.2,0.9,3.3,6.1,1.2,0.4,3.4,bealbr01,SG,0.510344827586207
Damian Lillard,46.3,40.1,88.8,0.5,3.8,8.0,1.1,0.3,2.9,lillada01,PG,0.5294117647058825
Trae Young,43.7,36.1,86.0,0.5,3.7,9.3,1.1,0.1,4.8,youngtr01,PG,0.5044247787610618
Giannis Antetokounmpo,55.3,30.4,63.3,2.2,11.4,5.6,1.0,1.0,3.7,antetgi01,SG,0.6333333333333333
Luka Doncic,46.3,31.6,75.8,1.3,8.1,8.8,1.0,0.2,4.3,doncilu01,PG,0.5726495726495726
Russell Westbrook,47.2,25.8,76.3,1.8,6.2,7.0,1.6,0.4,4.5,westbru01,PG,0.5106382978723404
Kawhi Leonard,47.0,37.8,88.6,0.9,6.1,4.9,1.8,0.6,2.6,leonaka01,SF,0.5000000000000001
Devin Booker,48.9,35.4,91.9,0.4,3.8,6.5,0.7,0.3,3.8,bookede01,SG,0.5555555555555555
Anthony Davis,50.3,33.0,84.6,2.3,7.0,3.2,1.5,2.3,2.5,davisan02,PF,0.5422535211267606
Zach LaVine,45.0,38.0,80.2,0.7,4.1,4.2,1.5,0.5,3.4,lavinza01,SG,0.4957983193277311
LeBron James,49.3,34.8,69.3,1.0,6.9,10.2,1.2,0.5,3.9,jamesle01,SF,0.5648854961832062
Donovan Mitchell,44.9,36.6,86.3,0.8,3.6,4.3,1.0,0.2,2.7,mitchdo01,SG,0.496
Brandon Ingram,46.3,39.1,85.1,0.8,5.3,4.2,1.0,0.6,3.0,ingrabr01,SF,0.5043478260869564
Jayson Tatum,45.0,40.3,81.2,1.0,6.0,3.0,1.4,0.9,2.3,tatumja01,SF,0.4782608695652173
D'Angelo Russell,42.6,36.7,80.9,0.4,3.6,6.3,1.1,0.3,3.3,russeda01,PG,0.4891304347826086
Pascal Siakam,45.3,35.9,79.2,1.1,6.3,3.5,1.0,0.9,2.5,siakapa01,PF,0.4959349593495936
CJ McCollum,45.1,37.9,75.7,0.7,3.6,4.4,0.8,0.6,1.8,mccolcj01,SG,0.487603305785124
DeMar DeRozan,53.1,25.7,84.5,0.6,4.9,5.6,1.0,0.3,2.4,derozde01,SG,0.5436241610738255
Andrew Wiggins,44.7,33.2,70.9,1.2,3.9,3.7,0.8,1.0,2.4,wiggian01,SF,0.5042016806722688
De'Aaron Fox,48.0,29.2,70.5,0.7,3.2,6.8,1.5,0.5,3.1,foxde01,PG,0.532258064516129
Khris Middleton,49.7,41.5,91.6,0.7,5.5,4.3,0.9,0.1,2.2,middlkh01,SG,0.5416666666666665
Collin Sexton,47.2,38.0,84.6,0.9,2.2,3.0,1.0,0.1,2.4,sextoco01,PG,0.5000000000000001
Spencer Dinwiddie,41.5,30.8,77.8,0.5,3.0,6.8,0.6,0.3,2.7,dinwisp01,PG,0.4845360824742267
Kemba Walker,42.5,38.1,86.4,0.6,3.2,4.8,0.9,0.5,2.1,walkeke02,PG,0.4799999999999999
Kristaps Porzingis,42.7,35.2,79.9,1.8,7.7,1.8,0.7,2.0,1.6,porzikr01,C,0.4838709677419355
Jaylen Brown,48.1,38.2,72.4,1.1,5.3,2.1,1.1,0.4,2.2,brownja02,SG,0.5360824742268042
Bojan Bogdanovic,44.7,41.4,90.3,0.6,3.5,2.1,0.5,0.1,2.5,bogdabo02,SF,0.4799999999999998
Jimmy Butler,45.5,24.4,83.4,1.8,4.8,6.0,1.8,0.6,2.2,butleji01,SG,0.4909090909090909
Nikola Jokic,52.8,31.4,81.7,2.3,7.5,7.0,1.2,0.6,3.1,jokicni01,C,0.5892857142857143
T.J. Warren,53.6,40.3,81.9,1.0,3.2,1.5,1.2,0.5,1.3,warretj01,SF,0.5739130434782609
Tobias Harris,47.1,36.7,80.6,1.0,5.9,3.2,0.7,0.6,1.4,harrito02,SF-PF,0.5221238938053098
Nikola Vucevic,47.7,33.9,78.4,2.3,8.6,3.6,0.9,0.8,1.4,vucevni01,C,0.5333333333333333
Julius Randle,46.0,27.7,73.3,2.4,7.4,3.1,0.8,0.3,3.0,randlju01,PF,0.5123966942148761
Kyle Lowry,41.6,35.2,85.7,0.6,4.5,7.5,1.4,0.4,3.1,lowryky01,PG,0.5172413793103448
Buddy Hield,42.9,39.4,84.6,0.8,3.8,3.0,0.9,0.2,2.3,hieldbu01,SG,0.4769230769230769
Jrue Holiday,45.5,35.3,70.9,1.3,3.5,6.7,1.6,0.8,3.0,holidjr01,SG,0.5092592592592592
Shai Gilgeous-Alexander,47.1,34.7,80.7,0.7,5.2,3.3,1.1,0.7,1.9,gilgesh01,SG,0.5137614678899082
Dennis Schroder,46.9,38.5,83.9,0.3,3.3,4.0,0.7,0.2,2.6,schrode01,SG,0.520408163265306
LaMarcus Aldridge,49.3,38.9,82.7,1.9,5.5,2.4,0.7,1.6,1.4,aldrila01,PF,0.5166666666666667
Danilo Gallinari,43.8,40.5,89.3,0.5,4.6,1.9,0.7,0.1,1.2,gallida01,SF,0.4754098360655738
Kelly Oubre Jr.,45.2,35.2,78.0,1.2,5.3,1.5,1.3,0.7,1.5,oubreke01,SF,0.5161290322580645
Montrezl Harrell,58.0,0.0,65.8,2.6,4.5,1.7,0.6,1.1,1.7,harremo01,C,0.5952380952380952
