Player,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,ID,Pos,2PA,2PM,2P_pc
James Harden,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,1.0,5.5,6.6,7.5,1.8,0.9,4.5,hardeja01,SG,9.9,5.5,0.5555555555555556
Bradley Beal,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,1.2,0.4,3.4,bealbr01,SG,14.499999999999998,7.4,0.510344827586207
Damian Lillard,9.5,20.4,46.3,4.1,10.2,40.1,7.0,7.8,88.8,0.5,3.8,4.3,8.0,1.1,0.3,2.9,lillada01,PG,10.2,5.4,0.5294117647058825
Trae Young,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,1.1,0.1,4.8,youngtr01,PG,11.3,5.699999999999999,0.5044247787610618
Giannis Antetokounmpo,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,1.0,1.0,3.7,antetgi01,SG,15.0,9.5,0.6333333333333333
Luka Doncic,9.5,20.6,46.3,2.8,8.9,31.6,7.0,9.2,75.8,1.3,8.1,9.4,8.8,1.0,0.2,4.3,doncilu01,PG,11.700000000000001,6.7,0.5726495726495726
Russell Westbrook,10.6,22.5,47.2,1.0,3.7,25.8,5.1,6.7,76.3,1.8,6.2,7.9,7.0,1.6,0.4,4.5,westbru01,PG,18.8,9.6,0.5106382978723404
Kawhi Leonard,9.3,19.9,47.0,2.2,5.7,37.8,6.2,7.1,88.6,0.9,6.1,7.1,4.9,1.8,0.6,2.6,leonaka01,SF,14.2,7.1000000000000005,0.5000000000000001
Devin Booker,9.0,18.3,48.9,2.0,5.7,35.4,6.7,7.3,91.9,0.4,3.8,4.2,6.5,0.7,0.3,3.8,bookede01,SG,12.600000000000001,7.0,0.5555555555555555
Anthony Davis,8.9,17.7,50.3,1.2,3.5,33.0,7.2,8.5,84.6,2.3,7.0,9.3,3.2,1.5,2.3,2.5,davisan02,PF,14.2,7.7,0.5422535211267606
Zach LaVine,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,1.5,0.5,3.4,lavinza01,SG,11.9,5.9,0.4957983193277311
LeBron James,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,1.2,0.5,3.9,jamesle01,SF,13.099999999999998,7.3999999999999995,0.5648854961832062
Donovan Mitchell,8.7,19.4,44.9,2.5,6.9,36.6,4.0,4.7,86.3,0.8,3.6,4.4,4.3,1.0,0.2,2.7,mitchdo01,SG,12.499999999999998,6.199999999999999,0.496
