Player,FieldsGoalMade,FieldsGoalAttempted,FiedlGoals_pc,3PointMade,3PointsA,3Point_pc,FreeTrhowsM,FreeThrowsA,FreeThrow_pc,OffREBounds,DefensREBounds,REBounds,AST,SteaLs,Blocks,Turnovers
James Harden,9.90,22.30,44.40,4.40,12.40,35.50,10.20,11.80,86.50,1.00,5.50,6.60,7.50,1.80,0.90,4.50
Bradley Beal,10.40,22.90,45.50,3.00,8.40,35.30,6.80,8.00,84.20,0.90,3.30,4.20,6.10,1.20,0.40,3.40
Damian Lillard,9.50,20.40,46.30,4.10,10.20,40.10,7.00,7.80,88.80,0.50,3.80,4.30,8.00,1.10,0.30,2.90
Trae Young,9.10,20.80,43.70,3.40,9.50,36.10,8.00,9.30,86.00,0.50,3.70,4.30,9.30,1.10,0.10,4.80
Giannis Antetokounmpo,10.90,19.70,55.30,1.40,4.70,30.40,6.30,10.00,63.30,2.20,11.40,13.60,5.60,1.00,1.00,3.70
Luka Doncic,9.50,20.60,46.30,2.80,8.90,31.60,7.00,9.20,75.80,1.30,8.10,9.40,8.80,1.00,0.20,4.30
Russell Westbrook,10.60,22.50,47.20,1.00,3.70,25.80,5.10,6.70,76.30,1.80,6.20,7.90,7.00,1.60,0.40,4.50
Kawhi Leonard,9.30,19.90,47.00,2.20,5.70,37.80,6.20,7.10,88.60,0.90,6.10,7.10,4.90,1.80,0.60,2.60
Devin Booker,9.00,18.30,48.90,2.00,5.70,35.40,6.70,7.30,91.90,0.40,3.80,4.20,6.50,0.70,0.30,3.80
Anthony Davis,8.90,17.70,50.30,1.20,3.50,33.00,7.20,8.50,84.60,2.30,7.00,9.30,3.20,1.50,2.30,2.50
Zach LaVine,9.00,20.00,45.00,3.10,8.10,38.00,4.50,5.60,80.20,0.70,4.10,4.80,4.20,1.50,0.50,3.40
LeBron James,9.60,19.40,49.30,2.20,6.30,34.80,3.90,5.70,69.30,1.00,6.90,7.80,10.20,1.20,0.50,3.90
Donovan Mitchell,8.70,19.40,44.90,2.50,6.90,36.60,4.00,4.70,86.30,0.80,3.60,4.40,4.30,1.00,0.20,2.70
Brandon Ingram,8.20,17.70,46.30,2.40,6.20,39.10,5.00,5.90,85.10,0.80,5.30,6.10,4.20,1.00,0.60,3.00
Jayson Tatum,8.40,18.60,45.00,2.90,7.10,40.30,3.80,4.70,81.20,1.00,6.00,7.00,3.00,1.40,0.90,2.30
D'Angelo Russell,8.00,18.80,42.60,3.50,9.60,36.70,3.60,4.40,80.90,0.40,3.60,3.90,6.30,1.10,0.30,3.30
Pascal Siakam,8.30,18.40,45.30,2.20,6.10,35.90,4.00,5.10,79.20,1.10,6.30,7.30,3.50,1.00,0.90,2.50
CJ McCollum,8.70,19.40,45.10,2.80,7.30,37.90,2.00,2.60,75.70,0.70,3.60,4.20,4.40,0.80,0.60,1.80
DeMar DeRozan,8.20,15.40,53.10,0.10,0.50,25.70,5.60,6.60,84.50,0.60,4.90,5.50,5.60,1.00,0.30,2.40
Andrew Wiggins,8.10,18.10,44.70,2.10,6.20,33.20,3.50,5.00,70.90,1.20,3.90,5.10,3.70,0.80,1.00,2.40
De'Aaron Fox,7.70,16.00,48.00,1.10,3.60,29.20,4.70,6.70,70.50,0.70,3.20,3.80,6.80,1.50,0.50,3.10
Khris Middleton,7.60,15.30,49.70,2.40,5.70,41.50,3.40,3.70,91.60,0.70,5.50,6.20,4.30,0.90,0.10,2.20
Collin Sexton,7.90,16.70,47.20,1.50,3.90,38.00,3.50,4.10,84.60,0.90,2.20,3.10,3.00,1.00,0.10,2.40
Spencer Dinwiddie,6.60,16.00,41.50,1.90,6.30,30.80,5.40,7.00,77.80,0.50,3.00,3.50,6.80,0.60,0.30,2.70
Kemba Walker,6.80,15.90,42.50,3.20,8.40,38.10,3.70,4.30,86.40,0.60,3.20,3.90,4.80,0.90,0.50,2.10
Kristaps Porzingis,7.00,16.40,42.70,2.50,7.10,35.20,4.00,5.00,79.90,1.80,7.70,9.50,1.80,0.70,2.00,1.60
Jaylen Brown,7.50,15.60,48.10,2.30,5.90,38.20,3.10,4.30,72.40,1.10,5.30,6.40,2.10,1.10,0.40,2.20
Bojan Bogdanovic,6.60,14.80,44.70,3.00,7.30,41.40,4.00,4.40,90.30,0.60,3.50,4.10,2.10,0.50,0.10,2.50
Jimmy Butler,5.90,13.10,45.50,0.50,2.10,24.40,7.60,9.10,83.40,1.80,4.80,6.70,6.00,1.80,0.60,2.20
Nikola Jokic,7.70,14.70,52.80,1.10,3.50,31.40,3.40,4.10,81.70,2.30,7.50,9.70,7.00,1.20,0.60,3.10
T.J. Warren,8.00,14.90,53.60,1.40,3.40,40.30,2.50,3.00,81.90,1.00,3.20,4.20,1.50,1.20,0.50,1.30
Tobias Harris,7.70,16.30,47.10,1.80,5.00,36.70,2.40,3.00,80.60,1.00,5.90,6.90,3.20,0.70,0.60,1.40
Nikola Vucevic,8.00,16.70,47.70,1.60,4.70,33.90,2.10,2.70,78.40,2.30,8.60,10.90,3.60,0.90,0.80,1.40
Julius Randle,7.20,15.70,46.00,1.00,3.60,27.70,4.00,5.50,73.30,2.40,7.40,9.70,3.10,0.80,0.30,3.00
Kyle Lowry,5.80,13.80,41.60,2.80,8.00,35.20,5.10,5.90,85.70,0.60,4.50,5.00,7.50,1.40,0.40,3.10
Buddy Hield,6.90,16.10,42.90,3.80,9.60,39.40,1.60,1.90,84.60,0.80,3.80,4.60,3.00,0.90,0.20,2.30
Jrue Holiday,7.50,16.50,45.50,2.00,5.70,35.30,2.10,3.00,70.90,1.30,3.50,4.80,6.70,1.60,0.80,3.00
